date,n_stn_temp,n_stn_press,n_stn_wind,temp_q1,temp_q3,pressure_q1,pressure_q3,wind_q1,wind_q3
1/1/12,11,9,9,70.5,73,29.96,30,4.3,5.1
1/2/12,11,9,9,71,74,30.01,30.04,3.3,5.3
1/3/12,11,9,9,72,73.5,30.04,30.11,3.7,7.8
1/4/12,11,9,9,73,76,30.09,30.16,4.3,8.2
1/5/12,11,9,9,71,76.5,30.07,30.15,6.3,11.1
1/6/12,11,9,9,70,74.5,30.03,30.09,5.5,8.9
1/7/12,11,9,9,70,73,30.02,30.07,4.3,5.9
1/8/12,11,9,9,69,72,30,30.05,3.8,5.8
1/9/12,11,9,9,70.5,74,30.01,30.08,4.6,8
1/10/12,11,9,9,71.5,74.5,29.97,30.03,5.4,8.7
1/11/12,11,9,9,70.5,73.5,29.94,29.99,4.2,5.9
1/12/12,11,9,9,70,72.5,29.88,29.91,5,6.6
1/13/12,11,9,9,70.5,72,29.82,29.85,5.4,9.5
1/14/12,11,9,9,67.5,71,29.83,29.86,5,7.2
1/15/12,11,9,9,74.5,77,29.85,29.88,10.8,15.2
1/16/12,10,9,9,73.25,78,29.91,29.93,8.8,16
1/17/12,10,9,9,75,78,29.9,29.93,9,15.7
1/18/12,10,9,9,73.5,77,29.94,29.96,7,10.9
1/19/12,10,9,9,72.25,74,30.01,30.06,4.5,8.3
1/20/12,10,9,9,73,74,30.01,30.09,5.7,6.9
1/21/12,10,9,9,72.5,76,30.03,30.1,5.7,11.1
1/22/12,10,9,9,72.25,75,29.96,30.03,7.3,10.9
1/23/12,10,9,9,71,72.75,29.97,30.01,4.5,6
1/24/12,10,9,9,71,73.75,29.95,29.99,3.1,6.6
1/25/12,11,9,9,71.5,75.5,29.95,29.98,5.4,6.8
1/26/12,10,9,9,71,75,29.9,29.93,7.4,9
1/27/12,10,9,9,72,73,29.91,29.96,3.6,5.7
1/28/12,10,9,9,72.25,75.75,29.97,30.06,5.2,12.7
1/29/12,10,9,9,72.5,76,30.02,30.11,6.5,15.4
1/30/12,10,9,9,69.75,74,29.98,30.06,5.8,12.3
1/31/12,10,8,8,71.5,75,29.93,29.98,4.55,7.75
2/1/12,10,9,9,70,73.75,29.91,29.98,5.2,7.8
2/2/12,10,9,9,71,73,29.93,30.01,5.5,8.7
2/3/12,10,9,9,69.25,71,29.91,29.95,5,7.2
2/4/12,10,9,9,71,71.75,29.81,29.85,5.3,8.2
2/5/12,10,9,9,72,74.75,29.8,29.83,6.2,8.2
2/6/12,10,9,9,68.5,71.75,29.84,29.87,5,8
2/7/12,9,9,9,70,74,29.83,29.86,10.7,15.9
2/8/12,10,9,9,69.25,71.75,29.95,30.01,11.2,13.8
2/9/12,10,9,9,66.75,70.75,30.06,30.16,5.8,9.1
2/10/12,10,9,9,69.5,73,30.12,30.2,5.7,10.7
2/11/12,10,9,9,69.25,73.75,30.13,30.21,5.7,11.6
2/12/12,10,9,9,71.5,74,30.11,30.18,5.4,9.1
2/13/12,10,9,9,71.75,75.75,30.08,30.14,5,9.8
2/14/12,10,9,9,71,74,30.04,30.1,4.7,6.2
2/15/12,10,9,9,72,73.75,30.06,30.11,5.2,7
2/16/12,10,9,9,72,74.75,30.08,30.16,5,12.3
2/17/12,10,9,9,71,75,30.06,30.17,6.1,16.6
2/18/12,10,9,9,71.75,75.75,30.04,30.14,7.4,15.5
2/19/12,10,9,9,71,75.75,29.98,30.09,8,16
2/20/12,9,9,9,71,75,29.99,30.08,6.2,13.3
2/21/12,10,9,9,69.25,75.75,30.01,30.08,5.5,12.6
2/22/12,11,9,9,71,75.5,29.98,30.06,6,12
2/23/12,11,9,9,73.5,75.5,29.91,29.98,6,11.5
2/24/12,11,9,9,72,75,29.9,29.95,4.5,6.1
2/25/12,11,9,9,72,74.5,29.92,29.96,5.1,6.5
2/26/12,11,9,9,69,73.5,29.92,29.99,6.1,9.2
2/27/12,11,9,9,71,74,29.96,30.03,4.9,11.6
2/28/12,7,5,5,70.5,74.5,29.91,30.03,9.7,10.8
2/29/12,10,9,9,71.25,75,29.97,30.03,5.7,11.4
3/1/12,10,9,9,72.25,75.75,29.97,30.03,5.8,10.3
3/2/12,10,9,9,71,73,29.98,30.04,4.6,8.1
3/3/12,10,9,9,69.75,73,29.95,29.99,3.2,7.9
3/4/12,10,9,9,69.25,72,29.88,29.93,5.6,9.3
3/5/12,10,8,8,67.25,70.75,29.815,29.8725,4.675,7.65
3/6/12,10,9,9,70,72.75,29.88,29.9,7.5,12.9
3/7/12,11,9,9,70.5,74,29.93,30.02,8.2,12.5
3/8/12,11,9,9,68,73,29.93,30.02,8.6,15.9
